Real,Imaginary
0.022284, 0.028843
-0.012072, 0.010192
0.024148, 0.020845
0.082440, 0.043053
0.101644, 0.046558
0.067765, 0.022850
0.025791, -0.004142
0.028422, -0.004797
0.075274, 0.021270
0.109992, 0.043039
0.082329, 0.033855
0.010109, 0.005791
-0.028417, 0.001461
0.030227, 0.048097
0.166666, 0.122529
0.288126, 0.167327
0.308157, 0.144626
0.219649, 0.072975
0.093792, 0.009327
0.012791, -0.004752
0.004908, 0.022248
0.038137, 0.048481
0.064906, 0.044532
0.065406, 0.019015
0.051856, 0.001433
0.043329, 0.007074
0.045624, 0.023918
0.053302, 0.031928
0.061398, 0.027847
0.068693, 0.026075
0.072589, 0.037449
0.068349, 0.053814
0.056365, 0.057285
0.045907, 0.042201
0.046355, 0.022762
0.054890, 0.017190
0.057686, 0.027409
0.046241, 0.038047
0.029808, 0.035241
0.026915, 0.022617
0.043819, 0.016035
0.065425, 0.024159
0.071029, 0.038181
0.057486, 0.042439
0.042333, 0.032906
0.042764, 0.021670
0.055595, 0.022528
0.062506, 0.034813
0.054034, 0.044246
0.042463, 0.039548
0.047027, 0.025590
0.069122, 0.018223
0.088322, 0.026824
0.085122, 0.044031
0.063437, 0.053522
0.045660, 0.046834
0.046357, 0.031183
0.056679, 0.020936
0.057978, 0.022825
0.046604, 0.030340
0.038072, 0.031840
0.045350, 0.022768
0.059857, 0.009532
0.061271, 0.002359
0.045227, 0.005325
0.032918, 0.013283
0.047193, 0.017765
0.082611, 0.015461
0.107900, 0.011217
0.101225, 0.012998
0.076414, 0.023543
0.066015, 0.036596
0.079586, 0.041909
0.089516, 0.035270
0.066418, 0.024127
0.023356, 0.021911
0.010104, 0.034438
0.054270, 0.050967
0.114977, 0.050503
0.111693, 0.020250
0.009228, -0.029978
-0.131538, -0.071970
-0.201679, -0.079774
-0.151046, -0.048562
-0.043412, 0.004949
0.003723, 0.058827
-0.062158, 0.101327
-0.173411, 0.130973
-0.209264, 0.145615
-0.116696, 0.137270
0.038468, 0.101446
0.139280, 0.050116
0.130053, 0.010035
0.058593, 0.002993
0.013652, 0.026096
0.032610, 0.053258
0.076428, 0.058424
0.087626, 0.038264
0.057902, 0.012296
0.030935, 0.001850
0.045239, 0.010563
0.087758, 0.025377
0.110244, 0.033541
0.085570, 0.034862
0.037871, 0.036698
0.014259, 0.040826
0.033124, 0.040159
0.067397, 0.029524
0.078190, 0.015944
0.057834, 0.013515
0.034575, 0.027087
0.037399, 0.044220
0.063159, 0.046984
0.082030, 0.032087
0.072549, 0.016670
0.046290, 0.022011
0.036676, 0.052047
0.066180, 0.089803
0.126552, 0.114984
0.189155, 0.122807
0.230628, 0.124021
0.247563, 0.128547
0.250464, 0.133511
0.249292, 0.129464
0.247072, 0.115500
0.244314, 0.103199
0.244354, 0.103866
0.251444, 0.115153
0.264469, 0.124538
0.275171, 0.125827
0.274462, 0.127267
0.261039, 0.139266
0.243579, 0.156233
0.233928, 0.157558
0.237258, 0.131245
0.247999, 0.093753
0.255179, 0.078726
0.252346, 0.101627
0.242979, 0.139040
0.236281, 0.150565
0.237515, 0.124347
0.242963, 0.095564
0.245395, 0.111027
0.244450, 0.172121
0.249494, 0.218775
0.269311, 0.180362
0.298276, 0.049014
0.315639, -0.098971
0.302899, -0.161242
0.263960, -0.096008
0.226139, 0.043933
0.217503, 0.160388
0.241116, 0.192994
0.272241, 0.158704
0.282254, 0.118185
0.265270, 0.111842
0.240658, 0.130281
0.230348, 0.139785
0.236468, 0.125533
0.242928, 0.104519
0.236865, 0.100700
0.223960, 0.116574
0.220259, 0.133444
0.231487, 0.135469
0.245330, 0.126552
0.246155, 0.121810
0.234277, 0.127463
0.226170, 0.134718
0.234731, 0.133154
0.252996, 0.124516
0.261238, 0.119127
0.249887, 0.120805
0.231481, 0.121173
0.227013, 0.111638
0.241761, 0.097513
0.258402, 0.094603
0.255842, 0.110209
0.232973, 0.131444
0.210877, 0.137062
0.211057, 0.121171
0.233562, 0.101367
0.258000, 0.100263
0.264917, 0.120052
0.253946, 0.139051
0.240967, 0.135149
0.240190, 0.110718
0.251306, 0.091327
0.263045, 0.099315
0.265747, 0.130626
0.258657, 0.159187
0.247171, 0.163038
0.236844, 0.144270
0.231087, 0.123619
0.231646, 0.118325
0.237604, 0.127334
0.243754, 0.136658
0.243242, 0.135421
0.234567, 0.124906
0.225063, 0.114294
0.224301, 0.111340
0.232704, 0.117841
0.238810, 0.130710
0.230896, 0.143832
0.211656, 0.149445
0.198591, 0.142120
0.207052, 0.124965
0.232903, 0.110889
0.254245, 0.113467
0.251936, 0.133575
0.228059, 0.155932
0.203170, 0.161735
0.195843, 0.146183
0.206437, 0.122703
0.221103, 0.109001
0.229199, 0.109805
0.233632, 0.114755
0.243665, 0.112702
0.260552, 0.105201
0.273719, 0.103714
0.271801, 0.114623
0.255424, 0.130401
0.237260, 0.137519
0.229934, 0.131506
0.235424, 0.121347
0.246267, 0.118469
0.254829, 0.123896
0.259187, 0.128606
0.260606, 0.125617
0.258426, 0.118377
0.250076, 0.115392
0.235771, 0.118554
0.220898, 0.120309
0.212235, 0.113413
0.212313, 0.101062
0.218431, 0.094529
0.226625, 0.100843
0.234823, 0.115205
0.241566, 0.126834
0.243646, 0.130517
0.237976, 0.129880
0.226670, 0.129640
0.218180, 0.128148
0.220562, 0.120424
0.232877, 0.107350
0.244921, 0.097853
0.247228, 0.099745
0.241089, 0.110171
0.236939, 0.118332
0.242024, 0.117969
0.251045, 0.114096
0.251271, 0.115075
0.237604, 0.120010
0.220859, 0.118640
0.218618, 0.105618
0.236890, 0.091390
0.261972, 0.093430
0.272468, 0.115190
0.260397, 0.137772
0.239984, 0.137506
0.234387, 0.112371
0.252866, 0.086986
0.280923, 0.087837
0.293462, 0.114425
0.278363, 0.138722
0.247762, 0.134934
0.226457, 0.107419
0.229067, 0.085877
0.247905, 0.093022
0.262372, 0.120430
0.259477, 0.138649
0.245005, 0.129280
0.235232, 0.103268
0.238997, 0.086811
0.249096, 0.092998
0.251332, 0.111237
0.240696, 0.123582
0.226957, 0.125947
0.223833, 0.129175
0.234000, 0.141273
0.246609, 0.154726
0.249889, 0.154909
0.244382, 0.138598
0.241667, 0.119134
0.250067, 0.111664
0.264019, 0.116543
0.269798, 0.120951
0.261317, 0.116192
0.247559, 0.109076
0.242569, 0.113432
0.249281, 0.132328
0.256147, 0.152759
0.250840, 0.159117
0.235182, 0.149222
0.223682, 0.134444
0.227222, 0.125476
0.240957, 0.122071
0.250458, 0.118362
0.248350, 0.114607
0.241528, 0.118322
0.241140, 0.132661
0.248875, 0.148041
0.257010, 0.150293
0.261130, 0.137445
0.267220, 0.124337
0.281916, 0.127254
0.298188, 0.145094
0.297913, 0.159381
0.272960, 0.154200
0.240259, 0.133602
0.228547, 0.116527
0.247161, 0.115502
0.272630, 0.124086
0.272650, 0.126949
0.243541, 0.119140
0.217290, 0.110841
0.226152, 0.112839
0.263447, 0.122309
0.288283, 0.127647
0.273260, 0.125800
0.240826, 0.127867
0.240946, 0.142474
0.288797, 0.156387
0.333353, 0.140275
0.301281, 0.080364
0.177876, 0.003336
0.038332, -0.037361
-0.012119, -0.006814
