Real, Imaginary
1215.513092, 0.000000
-4.058591, -0.508963
1.689905, 4.820319
0.805039, 2.272087
0.322984, 0.331755
0.417243, 0.030760
-5.800492, 0.957297
2.198033, -1.952534
2.302361, 6.828221
0.994217, -0.267320
0.277369, -2.493888
-1.847118, -1.608525
-1.917018, -0.001508
-0.433040, -2.300742
-4.822507, 3.493392
-1.517779, 1.027968
1.445515, -1.108260
-0.897890, 0.120778
-3.493655, -3.550358
-1.205386, -0.293691
-2.696646, 4.024226
0.372887, 1.467197
-0.018177, 0.700711
-0.999371, 1.049860
-1.610466, -0.305402
0.746135, 4.937305
0.135972, 3.458444
-1.841692, -6.129800
-1.068022, 2.464678
-0.277002, 1.800820
1.108706, -1.971704
0.194536, -2.496728
-3.023548, 0.072624
-1.204699, -2.606567
2.601761, 1.517417
-4.694252, -0.574111
-1.255538, 1.696151
0.726508, 2.150292
-2.229090, 2.536220
-2.132860, -3.159154
-4.097745, 1.952152
-5.010814, 5.758423
0.339289, -0.151554
1.466819, 1.167502
-2.125660, 3.728224
-0.122583, 0.493593
1.352611, 0.155401
1.011230, 3.261480
1.755236, 1.972014
2.451131, 3.858140
0.074922, 0.683086
-2.439037, -3.715073
0.127642, 1.126474
-2.185167, 6.942348
1.535265, 3.515610
3.174468, -4.390734
-0.926491, -2.084262
-1.074925, 4.841874
7.715863, 0.238261
-0.396253, -0.793507
1.969603, 0.594243
4.355242, -4.581978
-2.705824, -2.078068
-1.426796, 1.844274
-0.292528, -1.233072
-2.411645, 2.251082
-3.605379, 1.515272
1.385240, -2.436319
-2.420634, 1.913168
1.841857, 2.515811
-2.108863, 1.403324
1.338624, 0.490685
0.816497, 1.666736
4.234765, -2.419420
-1.216742, 2.155869
0.665715, 2.441778
2.108064, 3.693941
1.372171, -2.627625
0.817224, 0.677779
0.180123, -0.217206
1.650386, 3.092092
-1.135570, -0.129520
3.853759, -0.492209
1.475286, -5.845009
4.137754, -2.576204
-3.890309, 0.434975
1.529551, -0.369276
-0.599663, -2.193871
6.508613, 2.031841
1.626358, -3.816084
-1.823938, -4.299477
-6.901132, 1.455271
1.797488, 0.117699
0.560152, -1.021027
-0.285203, -1.361029
-1.606613, -3.930899
0.046304, -3.226455
-3.011112, 0.080219
-1.375052, -1.464732
-1.020221, 2.072998
2.938517, -0.104242
2.367121, -2.655648
-2.199870, -3.678268
-4.626861, 1.214981
-0.761885, -2.455909
-2.334190, 2.634813
-1.265903, -1.927681
-0.236368, -0.529620
-3.293060, -0.614526
-2.108490, 2.635181
1.484991, -3.298232
-1.848081, 1.162274
-0.330391, -0.524731
2.044390, 0.152180
-2.382560, 1.534331
0.824359, -2.933818
-2.738663, -1.802082
-3.079495, 4.320512
-0.872671, -0.521535
-0.929574, -1.544160
-2.962007, 5.940054
0.603586, -3.001284
-1.232605, -0.390109
0.132354, -0.727101
0.642356, -1.926807
-1.592016, -0.382985
-3.058339, -0.421014
-3.659435, -4.116428
0.071450, 2.132182
-2.436206, 2.824602
-4.026966, -0.316164
-5.327285, 2.932827
-2.612748, -0.834122
-1.662764, 6.838983
2.545381, 3.948301
-2.498227, 0.305903
-1.444373, -0.855575
-1.053952, 4.214874
1.563913, -1.579746
2.152299, 2.547767
-2.262067, 1.645710
-0.531619, 0.855875
1.967467, -0.657413
-1.449058, 0.941859
-0.186553, -1.137362
0.635519, 2.199949
-5.802439, 2.334438
-1.576593, -3.681817
-0.795750, 3.770953
-1.871431, 2.477295
-2.267027, -2.688964
-0.575647, 3.550872
-2.383570, 6.336369
2.774630, -2.556088
1.213371, 3.297528
-1.061902, 3.837241
1.924220, 1.229824
4.617518, 5.256472
-1.990694, -1.735945
-0.390353, -3.831651
2.411055, 4.435094
-2.906630, 2.788333
-0.691509, -1.321644
4.707822, 1.666502
1.047473, -4.491618
-1.052253, -2.342069
-0.696117, 2.306827
-4.720369, 0.038289
1.096445, 1.037287
3.176138, 4.153269
-1.344070, -2.928545
-4.549726, 0.164915
-0.763623, 5.559884
-1.158811, 2.304684
0.708106, 2.728246
1.323000, 4.833978
2.378220, -2.219820
2.048885, -1.363866
-2.300224, -0.029476
0.044691, 1.564060
0.329048, 0.934006
1.200273, 2.568591
-1.583209, -3.104056
2.549962, 4.432534
-2.502712, 4.438777
2.404718, 2.305695
-1.721208, 0.635370
1.867817, 3.871261
2.663978, 0.427613
5.393014, 0.075760
-4.836265, 0.081067
5.768843, -3.071344
1.860688, -2.732561
-1.511019, 1.086247
2.125361, 2.317048
3.486585, -1.994092
-2.017555, 2.457500
0.315300, -2.599064
-0.685401, 2.225668
-2.631393, -0.418387
0.848289, 2.131327
-0.124308, 0.239608
-2.455880, 0.162371
-0.018304, -2.298779
4.984282, 2.938680
-1.637895, -1.085046
-1.359931, 4.422660
3.219318, 2.150301
2.649710, -1.100652
3.786512, -0.697698
-0.238159, 0.973619
-4.319442, 0.738500
1.492252, 3.628164
4.238361, -0.605087
0.631143, -3.727306
1.658077, -0.754377
-2.510311, 0.886294
-3.134158, 0.735288
4.775976, 1.107697
4.583133, -0.521394
3.090060, -3.810367
-1.336690, -1.656490
-2.201355, 2.242359
-0.351735, -0.098562
5.529042, 1.476839
2.091318, 2.970470
1.269339, -5.143518
-0.742058, -3.746664
0.907691, 1.025628
0.479356, -3.790831
1.522733, -3.794171
0.515565, -2.169904
-1.391737, -3.724990
2.149647, -1.986787
-3.444186, -2.133661
-6.065988, -2.969759
-0.764895, 4.825737
1.825195, 2.577813
-5.392535, 0.077903
1.217236, -0.290982
-1.301234, 1.384536
-0.200554, 0.347470
2.668280, -0.611042
0.101714, -1.420423
-0.424310, -0.785959
0.915262, -1.712060
-0.507387, 0.675894
-1.101755, -0.322587
1.115483, -0.301732
-0.342288, 0.810764
-0.109381, -1.042196
-3.053762, -1.068151
