Real, Imaginary
1100.328568, 341.557086
1237.602737, -32.378298
872.715881, 220.177876
1101.674393, -541.930326
1704.772308, 31.403385
1295.304993, 301.978357
1150.965240, 313.106315
835.537460, 64.983224
1253.416183, -348.537590
1652.789810, 174.493057
1144.404343, 495.473588
971.802261, 102.960260
1199.078491, 61.649132
1373.194626, 55.224281
1731.857040, 844.726220
25.855377, 1549.331049
-749.676392, -716.284548
1171.489075, -1247.657862
1464.037827, -312.853612
1288.407639, -1.155306
866.154984, -107.996306
1172.498444, -460.133969
1359.063461, -278.004480
1565.815857, -73.062687
1174.517181, 316.980874
914.268234, -137.821605
1204.630020, -288.455168
1465.047195, -194.164175
1447.719696, 247.187568
898.118332, 250.654009
865.482071, -376.351505
1542.600372, -403.631902
1547.815445, 183.905631
1178.218201, 269.682166
900.641754, 56.331377
1107.562378, -363.446294
1522.917679, -144.621895
1381.942490, 208.450784
1054.402283, 168.886805
1029.672745, -137.051282
1284.033707, -262.429545
1588.021973, -24.847260
1298.333099, 419.302674
858.416489, 107.249716
1068.028763, -258.263835
1424.840668, -219.208270
1501.216248, 197.782922
1053.224686, 312.799868
898.791245, -94.100585
1232.555893, -337.192196
1580.619934, -76.160772
1410.204819, 345.394789
934.623840, 308.074245
827.798965, -259.581296
1522.244766, -426.036512
1604.508331, 294.792685
1096.122864, 263.215319
1043.299225, 108.677342
1018.737915, -265.055288
1648.920563, -141.351191
1322.389725, 376.867258
1150.628784, 178.122905
925.539520, 142.925050
1187.638977, -358.362523
1552.862289, 128.012336
1228.518417, 219.630403
1100.328568, 316.386797
774.470642, -192.700528
1597.947433, -394.299889
1634.789398, 353.071490
1195.882156, 519.298670
694.225815, 207.242690
1183.937958, -455.187507
1657.163742, 184.291809
1228.181961, 373.843610
1050.028351, 362.788528
884.323624, -90.318651
1539.235809, -101.708348
1483.215836, 416.046227
1259.304169, 626.076032
900.978210, 479.500781
1198.069122, 683.426327
-29.659912, 943.873491
174.064377, -736.200238
1127.413300, -63.863953
691.534164, -402.475741
1753.726700, 203.437417
100.043991, 1049.980561
-224.131653, -743.804231
752.432755, -921.743151
1098.478058, -919.553820
1538.394669, -597.742020
1583.648041, -158.469111
1117.992523, 215.362292
779.685715, -397.386511
1364.614990, -521.984013
1496.169403, -216.175060
1400.615814, 174.232419
854.210785, 31.655341
1031.018570, -371.425134
1240.967300, -463.812129
1725.632599, -183.938232
