Real,Imaginary
-0.020892, 0.044555
-0.014566, 0.095995
-0.007228, 0.108077
-0.009814, 0.071902
-0.020115, 0.028602
-0.019770, 0.027260
0.006351, 0.070280
0.046561, 0.110621
0.065452, 0.107861
0.039631, 0.077652
-0.009276, 0.070861
-0.028115, 0.101634
0.009832, 0.113479
0.061707, 0.038497
0.045895, -0.106128
-0.067367, -0.201299
-0.196124, -0.132101
-0.196960, 0.080881
0.000994, 0.272409
0.303648, 0.278659
0.506240, 0.102780
0.462747, -0.074172
0.216993, -0.062738
-0.033846, 0.147398
-0.114945, 0.371447
-0.023319, 0.404700
0.089328, 0.214903
0.076281, -0.037015
-0.063657, -0.159452
-0.198684, -0.105838
-0.204338, 0.006423
-0.083247, 0.033659
0.049608, -0.053166
0.085787, -0.160262
0.018485, -0.180716
-0.071689, -0.094816
-0.105096, 0.031300
-0.066565, 0.120181
0.006262, 0.138588
0.071568, 0.091397
0.106640, -0.006583
0.096530, -0.130545
0.028955, -0.227754
-0.082153, -0.231809
-0.178098, -0.118844
-0.186569, 0.052760
-0.088852, 0.177915
0.047781, 0.193828
0.120471, 0.132583
0.083696, 0.079662
-0.009498, 0.083359
-0.063452, 0.114928
-0.035654, 0.119574
0.027807, 0.092137
0.050567, 0.083846
0.009956, 0.131679
-0.044753, 0.198898
-0.053197, 0.206606
-0.009881, 0.128014
0.037373, 0.035790
0.046599, 0.037820
0.024806, 0.161889
0.008003, 0.313455
0.010373, 0.357676
0.008893, 0.245404
-0.019429, 0.056698
-0.058846, -0.077248
-0.067655, -0.089725
-0.029250, -0.019296
0.022726, 0.049443
0.040079, 0.070209
0.016144, 0.060328
-0.006802, 0.059027
0.008567, 0.078414
0.042902, 0.097854
0.037021, 0.093710
-0.035153, 0.062950
-0.120776, 0.020453
-0.129949, -0.014002
-0.029834, -0.020114
0.107871, 0.021509
0.162533, 0.115837
0.074042, 0.235104
-0.100132, 0.323372
-0.235260, 0.334325
-0.247342, 0.272210
-0.157743, 0.192991
-0.061540, 0.159216
-0.038612, 0.189146
-0.091175, 0.245001
-0.155505, 0.263972
-0.165100, 0.198794
-0.105378, 0.040731
-0.019054, -0.173054
0.032924, -0.359588
0.019280, -0.411548
-0.040099, -0.258294
-0.092141, 0.058651
-0.093803, 0.369283
-0.048072, 0.469450
-0.003003, 0.276864
-0.011021, -0.083934
-0.080395, -0.362394
-0.162331, -0.376641
-0.188838, -0.154263
-0.130125, 0.107581
-0.020382, 0.221858
0.070316, 0.161372
0.090111, 0.048095
0.036644, 0.014446
-0.055480, 0.084908
-0.147975, 0.183675
-0.216965, 0.233153
-0.247256, 0.225482
-0.224876, 0.201940
-0.146856, 0.186522
-0.037177, 0.160200
0.058590, 0.098016
0.106189, 0.011538
0.114008, -0.060167
0.127474, -0.097115
0.185619, -0.120959
0.278804, -0.164443
0.348748, -0.225905
0.333313, -0.264158
0.217847, -0.238389
0.050552, -0.145955
-0.088510, -0.020371
-0.139194, 0.096605
-0.097061, 0.171336
-0.011856, 0.176404
0.047792, 0.098058
0.040492, -0.036683
-0.020888, -0.150711
-0.081741, -0.165467
-0.091910, -0.080818
-0.050524, 0.001762
-0.009068, -0.035707
-0.024505, -0.200268
-0.101766, -0.353917
-0.181308, -0.331561
-0.189268, -0.108426
-0.106653, 0.156813
0.008995, 0.262787
0.073110, 0.157409
0.049297, -0.015241
-0.021285, -0.065058
-0.063109, 0.051004
-0.038264, 0.193282
0.022456, 0.194838
0.056217, 0.039484
0.033321, -0.126166
-0.012671, -0.153750
-0.016440, -0.050165
0.057441, 0.036063
0.178556, -0.021862
0.270282, -0.193893
0.267335, -0.325079
0.165349, -0.291187
0.025281, -0.111680
-0.070289, 0.085444
-0.077087, 0.189866
-0.020463, 0.187481
0.027683, 0.128267
0.010580, 0.050101
-0.063451, -0.042361
-0.128267, -0.133253
-0.122292, -0.165752
-0.051571, -0.087056
0.007107, 0.075432
-0.028730, 0.206427
-0.170546, 0.196502
-0.340929, 0.051653
-0.432036, -0.099468
-0.388401, -0.120305
-0.243235, 0.004970
-0.083843, 0.156438
0.015442, 0.192679
0.035052, 0.082648
0.002841, -0.069762
-0.041107, -0.124746
-0.072332, -0.029177
-0.086612, 0.148421
-0.088604, 0.288708
-0.078539, 0.320244
-0.046592, 0.258526
0.019668, 0.167843
0.115414, 0.098204
0.201007, 0.056021
0.211607, 0.021058
0.102901, -0.020330
-0.097654, -0.058193
-0.287660, -0.066122
-0.356222, -0.021163
-0.272829, 0.076673
-0.116321, 0.194977
-0.008958, 0.279257
-0.012611, 0.286631
-0.085376, 0.225635
-0.137505, 0.165198
-0.123975, 0.188079
-0.076620, 0.313207
-0.049744, 0.455369
-0.049925, 0.475567
-0.033612, 0.297567
0.028362, -0.007302
0.102016, -0.254579
0.121610, -0.286946
0.067850, -0.103499
-0.001183, 0.140408
-0.009005, 0.267787
0.053704, 0.228359
0.115761, 0.125298
0.103102, 0.101070
0.021435, 0.198037
-0.049349, 0.329180
-0.042398, 0.379139
0.025749, 0.323902
0.078507, 0.244410
0.064837, 0.226533
0.007760, 0.261674
-0.034470, 0.258932
-0.040632, 0.155747
-0.043543, 0.003960
-0.075710, -0.067882
-0.116573, 0.017757
-0.111305, 0.202442
-0.040934, 0.340228
0.043055, 0.331890
0.067300, 0.209816
0.016883, 0.092764
-0.044782, 0.064626
-0.041696, 0.103358
0.034865, 0.124779
0.118502, 0.083741
0.136281, 0.023011
0.076574, 0.024948
-0.011654, 0.124222
